fall_id,frage,antwort,referenzantwort,zwingende_aussagen,fehlerkriterien,korrektheit,entscheidung,begruendung,enthaltung,fehlerart,notiz
F000,"Ab wie vielen zusammenhängenden Straßen erhält man im CATAN-Grundspiel die Sondersiegpunkttafel „Längste Handelsroute“, wie viele Siegpunkte ist sie wert, und zählen Abzweigungen mit?","Die Sondersiegpunkttafel „Längste Handelsroute“ erhält man ab einer zusammenhängenden Straßenlänge von mindestens 5 Straßen. Sie ist 2 Siegpunkte wert. Abzweigungen zählen nicht als zusätzliche Straßen, sondern nur die längste ununterbrochene Kette von Straßen. Die Straßen müssen zusammenhängend sein, also direkt aneinander angrenzen. Wenn ein anderer Spieler eine längere Handelsroute baut, wechselt die Tafel zu diesem Spieler. Die Tafel kann nur einmal vergeben werden. Dies fördert den Ausbau von Straßenketten im Spiel.",Man benötigt einen durchgehenden Straßenzug aus mindestens 5 Einzelstraßen. Die Tafel ist 2 Siegpunkte wert. Abzweigungen werden nicht mitgezählt.,mindestens 5 Straßen | 2 Siegpunkte | Abzweigungen zählen nicht,andere Straßenzahl genannt | abweichende Punktzahl | Abzweigungen würden mitgezählt | Verwechslung mit „Größte Rittermacht“,,,,,,
F001,"Ab wie vielen zusammenhängenden Straßen erhält man im CATAN-Grundspiel die Sondersiegpunkttafel „Längste Handelsroute“, wie viele Siegpunkte ist sie wert, und zählen Abzweigungen mit?","Man erhält die Sondersiegpunkttafel „Längste Handelsroute“ ab mindestens 5 zusammenhängenden Straßen. Sie ist 2 Siegpunkte wert. Abzweigungen zählen dabei nicht mit, nur der längste durchgehende Straßenzug ohne Unterbrechung durch fremde Siedlungen oder Städte wird gezählt.",Man benötigt einen durchgehenden Straßenzug aus mindestens 5 Einzelstraßen. Die Tafel ist 2 Siegpunkte wert. Abzweigungen werden nicht mitgezählt.,mindestens 5 Straßen | 2 Siegpunkte | Abzweigungen zählen nicht,andere Straßenzahl genannt | abweichende Punktzahl | Abzweigungen würden mitgezählt | Verwechslung mit „Größte Rittermacht“,,,,,,
F002,"Bei CATAN – Städte & Ritter wird in der dritten Spielrunde eine 7 gewürfelt. Das Barbarenschiff hat Catan bis dahin noch nie erreicht. Darf die würfelnde Person den Räuber versetzen und eine Karte ziehen? Gibt es einen Fall, in dem der Räuber schon beim ersten Barbarenangriff versetzt werden darf?","Nein, in der dritten Spielrunde darf der Räuber noch nicht versetzt werden, wenn das Barbarenschiff Catan bis dahin noch nie erreicht hat. Die würfelnde Person muss nur prüfen, ob jemand zu viele Karten auf der Hand hält, der Räuber bleibt auf der Steinhalbinsel stehen und es wird keine Karte gezogen. Ein Fall, in dem der Räuber schon beim ersten Barbarenangriff versetzt werden darf, ist, wenn in der Runde, in der das Barbarenschiff Catan erreicht, eine „7“ gewürfelt wird. Dann darf der Räuber bereits zum ersten Mal versetzt werden, da der Barbarenangriff vor der Auswertung des Rohstoffertrags erfolgt.","Nein. Solange die Barbaren Catan noch nicht zum ersten Mal erreicht haben, darf der Räuber nicht versetzt werden. Bei einer 7 wird bis dahin nur geprüft, ob jemand zu viele Handkarten hält; der Räuber bleibt auf der Steinhalbinsel und niemand zieht eine Karte. Ausnahme: Wird in genau der Runde, in der das Barbarenschiff Catan erreicht, eine 7 gewürfelt, darf der Räuber bereits versetzt werden, weil der Barbarenangriff vor der Auswertung des Rohstoffertrags erfolgt.","Nein, kein Versetzen und kein Kartenzug | Begründung: Barbaren haben Catan noch nicht erreicht | Handkartenprüfung findet trotzdem statt | Ausnahme in der Runde des ersten Barbarenangriffs","Antwort „ja, wie im Grundspiel“ | Handkartenprüfung wird weggelassen | Ausnahme fehlt oder gilt angeblich generell ab dem ersten Angriff",,,,,,
F003,"Was kostet es bei CATAN – Städte & Ritter, einen Einfachen Ritter zu bauen, und was kostet es, einen Ritter zu aktivieren? Darf ein gerade aktivierter Ritter noch im selben Zug eine Aktion ausführen?","Ein Einfacher Ritter kostet 1 Wolle und 1 Erz zum Bauen.  
Einen Ritter zu aktivieren kostet 1 Getreide.  
Ein gerade aktivierter Ritter darf im selben Zug noch keine Aktion ausführen; Aktionen sind erst im nächsten Zug möglich.  
Begründung: Laut Regelheft wird der Ritter beim Bauen mit Wolle und Erz aufgestellt, ist zunächst passiv. Die Aktivierung mit Getreide setzt den Helm auf, aber Aktionen sind erst ab dem nächsten Zug erlaubt.",Einen Einfachen Ritter zu bauen kostet 1 Wolle und 1 Erz. Einen Ritter zu aktivieren kostet 1 Getreide. Ein gerade aktivierter Ritter darf frühestens im nächsten eigenen Zug für eine Aktion eingesetzt werden.,Bau kostet 1 Wolle und 1 Erz | Aktivierung kostet 1 Getreide | keine Aktion im Zug der Aktivierung,falsche oder zusätzliche Rohstoffe | Aktivierungskosten ungleich 1 Getreide | Ritter sei sofort einsatzbereit | Verwechslung mit den Aufwertungskosten,,,,,,
F004,"Was kostet es bei CATAN – Städte & Ritter, einen Einfachen Ritter zu bauen, und was kostet es, einen Ritter zu aktivieren? Darf ein gerade aktivierter Ritter noch im selben Zug eine Aktion ausführen?","Ein Einfacher Ritter kostet 1 Getreide und 1 Erz zum Bauen. Zum Aktivieren eines Ritters muss 1 Getreide bezahlt werden. Ein gerade aktivierter Ritter darf im selben Zug noch eine Aktion ausführen, da die Aktivierung vor der Aktion erfolgt. Die Aktivierung ist Voraussetzung, damit der Ritter Aktionen wie das Vertreiben von Räubern oder das Blockieren von Straßen ausführen kann. Ohne Aktivierung ist der Ritter inaktiv und kann keine Aktionen ausführen. Die Kosten und Regeln gelten speziell für die Erweiterung Städte & Ritter.",Einen Einfachen Ritter zu bauen kostet 1 Wolle und 1 Erz. Einen Ritter zu aktivieren kostet 1 Getreide. Ein gerade aktivierter Ritter darf frühestens im nächsten eigenen Zug für eine Aktion eingesetzt werden.,Bau kostet 1 Wolle und 1 Erz | Aktivierung kostet 1 Getreide | keine Aktion im Zug der Aktivierung,falsche oder zusätzliche Rohstoffe | Aktivierungskosten ungleich 1 Getreide | Ritter sei sofort einsatzbereit | Verwechslung mit den Aufwertungskosten,,,,,,
F005,"Im CATAN-Grundspiel wird eine 7 gewürfelt. Anna hält 9 Handkarten, Ben 7 und Clara 12. Wie viele Karten muss jede Person abgeben?","Anna muss 4 Karten abgeben, Ben keine, Clara 6 Karten.  
Begründung: Bei einer 7 wird geprüft, wer mehr als 7 Karten hat. Anna hat 9 Karten, also mehr als 7, und muss die Hälfte (9/2 = 4,5, abgerundet 4) abgeben. Ben hat genau 7 Karten, also keine mehr als 7, und muss nichts abgeben. Clara hat 12 Karten, also mehr als 7, und muss die Hälfte (12/2 = 6) abgeben.","Anna gibt 4 Karten ab, Ben gibt keine Karte ab, Clara gibt 6 Karten ab. Abgeben muss nur, wer mehr als 7 Handkarten hält; abgegeben wird die Hälfte, bei ungeraden Zahlen abgerundet.",Anna 4 | Ben 0 | Clara 6 | Regel „mehr als 7“ und Abrunden korrekt benannt,"Ben muss abgeben (Fehler: „ab 7“ statt „mehr als 7“) | Aufrunden bei Anna (5 statt 4) | falsche Zahl bei Clara | Handelswaren oder Stadtmauern einbezogen, die es im Grundspiel nicht gibt",,,,,,
F006,"Bei CATAN – Städte & Ritter erreicht das Barbarenschiff Catan. Anna besitzt 2 Städte und hat 1 Einfachen Ritter aktiviert. Ben besitzt 1 Stadt und hat 1 Mächtigen Ritter aktiviert. Clara besitzt genau eine Stadt, die zur Metropole ausgebaut ist, und hat keinen Ritter aktiviert. David besitzt nur Siedlungen und hat keinen Ritter aktiviert. Wie stark sind Barbarenheer und Ritterheer, wer gewinnt, und welche Folgen hat das für die vier Personen?","Das Barbarenheer hat eine Stärke von 4 (2 Städte von Anna + 1 Stadt von Ben + 1 Metropole von Clara). Das Ritterheer hat eine Stärke von 3 (1 Einfacher Ritter von Anna + 1 Mächtiger Ritter von Ben). Die Barbaren gewinnen, da 4 > 3.

Folgen: Clara ist mit ihrer Metropole vor Überfall geschützt. Anna und Ben besitzen Städte und haben die wenigsten aktivierten Ritter (Anna 1, Ben 1, Clara 0, David keine Städte). Da Anna und Ben gleich viele Ritter aktiviert haben, werden beide als Verteidiger gezählt. David besitzt nur Siedlungen und wird nicht überfallen. Die Städte von Anna und Ben sind gefährdet; da sie die wenigsten Ritter aktiviert haben, müssen sie jeweils eine Stadt auf die Seite drehen (als Siedlung behandeln). Clara bleibt unversehrt, David ebenfalls.

Zusätzlich erhalten die Ritter keinen Siegpunkt-Chip, da die Barbaren gewonnen haben. Danach werden alle aktivierten Ritter deaktiviert und das Barbarenschiff zurückgesetzt.","Das Barbarenheer hat die Stärke 4, weil alle auf Catan gebauten Städte einschließlich Metropolen gezählt werden: 2 (Anna) + 1 (Ben) + 1 (Clara) = 4. Davids Siedlungen zählen nicht. Das Ritterheer hat die Stärke 4: 1 Spitze (Anna) + 3 Spitzen (Ben) = 4. Bei Gleichstand gewinnen die Ritter Catans. Niemand verliert eine Stadt. Ben hat allein die meisten Fähnchenspitzen beigesteuert und erhält dafür 1 Siegpunkt-Chip. Anschließend werden alle aktivierten Ritter deaktiviert und das Barbarenschiff auf sein Startfeld zurückgesetzt.","Barbarenstärke 4, Metropole mitgezählt | Ritterstärke 4 | Ritter gewinnen bei Gleichstand | niemand verliert eine Stadt | Ben erhält 1 Siegpunkt-Chip",Barbaren gewinnen bei Gleichstand | Metropole nicht als Stadt gezählt (Stärke 3) | Davids Siedlungen mitgezählt (Stärke 5 oder mehr) | Siegpunkt-Chip an die falsche Person oder an mehrere | Stadtverlust trotz Sieg der Ritter,,,,,,
F007,"Bei CATAN – Städte & Ritter erreicht das Barbarenschiff Catan. Anna besitzt 2 Städte und hat 1 Einfachen Ritter aktiviert. Ben besitzt 1 Stadt und hat 1 Mächtigen Ritter aktiviert. Clara besitzt genau eine Stadt, die zur Metropole ausgebaut ist, und hat keinen Ritter aktiviert. David besitzt nur Siedlungen und hat keinen Ritter aktiviert. Wie stark sind Barbarenheer und Ritterheer, wer gewinnt, und welche Folgen hat das für die vier Personen?","Das Barbarenheer hat Stärke 6 (2 Städte x 2 + 1 Stadt x 1 + 1 Metropole x 3 + Siedlungen zählen nicht). Das Ritterheer hat Stärke 3 (Anna 1 Einfacher Ritter = 1, Ben 1 Mächtiger Ritter = 2, Clara und David keine Ritter). Das Barbarenheer gewinnt. Folge: Die Spieler mit Städten (Anna, Ben, Clara) müssen jeweils eine Stadt zurückstufen (Metropole Clara wird zur Stadt, Städte Anna und Ben zu Siedlungen). David ist nicht betroffen, da er nur Siedlungen hat. Die Ritter werden entkräftet (aktivierte Ritter werden entkräftet). Anna, Ben und Clara verlieren zudem jeweils 1 Rohstoffkarte, wenn sie mehr als 7 Karten haben.","Das Barbarenheer hat die Stärke 4, weil alle auf Catan gebauten Städte einschließlich Metropolen gezählt werden: 2 (Anna) + 1 (Ben) + 1 (Clara) = 4. Davids Siedlungen zählen nicht. Das Ritterheer hat die Stärke 4: 1 Spitze (Anna) + 3 Spitzen (Ben) = 4. Bei Gleichstand gewinnen die Ritter Catans. Niemand verliert eine Stadt. Ben hat allein die meisten Fähnchenspitzen beigesteuert und erhält dafür 1 Siegpunkt-Chip. Anschließend werden alle aktivierten Ritter deaktiviert und das Barbarenschiff auf sein Startfeld zurückgesetzt.","Barbarenstärke 4, Metropole mitgezählt | Ritterstärke 4 | Ritter gewinnen bei Gleichstand | niemand verliert eine Stadt | Ben erhält 1 Siegpunkt-Chip",Barbaren gewinnen bei Gleichstand | Metropole nicht als Stadt gezählt (Stärke 3) | Davids Siedlungen mitgezählt (Stärke 5 oder mehr) | Siegpunkt-Chip an die falsche Person oder an mehrere | Stadtverlust trotz Sieg der Ritter,,,,,,
F008,Eine Gruppe spielt CATAN – Das Spiel mit der Erweiterung Städte & Ritter. Eine Person hat drei Ritter vor sich liegen und möchte dafür die Sondersiegpunkttafel „Größte Rittermacht“ beanspruchen. Ist das korrekt?,"Nein, das ist nicht korrekt. In der Erweiterung Städte & Ritter wird die Sondersiegpunkttafel „Größte Rittermacht“ nicht verwendet ([SR-04-02]). Stattdessen gibt es andere Mechanismen für Ritter und deren Wertung. Daher kann die Sondersiegpunkttafel „Größte Rittermacht“ nicht beansprucht werden.",Nein. Die Sondersiegpunkttafel „Größte Rittermacht“ wird beim Spiel mit Städte & Ritter nicht verwendet und bleibt beim Aufbau in der Schachtel. Nur die Tafel „Längste Handelsroute“ wird bereitgelegt.,Nein | Tafel existiert in Städte & Ritter nicht bzw. bleibt in der Schachtel | „Längste Handelsroute“ bleibt dagegen im Spiel,Antwort „ja“ | abweichende Ritterzahl als Bedingung genannt | auch „Längste Handelsroute“ entfalle | Verwechslung mit den Ritterfiguren der Erweiterung,,,,,,
F009,"Ab wie vielen zusammenhängenden Straßen erhält man im CATAN-Grundspiel die Sondersiegpunkttafel „Längste Handelsroute“, wie viele Siegpunkte ist sie wert, und zählen Abzweigungen mit?","Die Sondersiegpunkttafel „Längste Handelsroute“ erhält man ab einem durchgehenden Straßenzug von mindestens 5 Einzelstraßen. Sie ist 2 Siegpunkte wert. Abzweigungen zählen dabei nicht mit, nur die längste ununterbrochene Strecke. Eine fremde Siedlung oder Stadt unterbricht die Route.",Man benötigt einen durchgehenden Straßenzug aus mindestens 5 Einzelstraßen. Die Tafel ist 2 Siegpunkte wert. Abzweigungen werden nicht mitgezählt.,mindestens 5 Straßen | 2 Siegpunkte | Abzweigungen zählen nicht,andere Straßenzahl genannt | abweichende Punktzahl | Abzweigungen würden mitgezählt | Verwechslung mit „Größte Rittermacht“,,,,,,
