question_id,split,fragetyp,variante,regelgruppe,precision@4,recall@4,f1,gold_vollstaendig,zitat_recall,seiten_recall,hit@k,vollstaendig,treffer,gold_seiten
E01,dev,fakten,grundspiel,RG-02_handelsroute,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"GS-09-01, GS-11-01, GS-09-02, GS-12-01",GR S.9
E02,dev,fakten,staedte_ritter,RG-06_ritter_bauen,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,"SR-12-01, SR-09-02, SR-10-01, SR-09-01",ST S.9
E03,dev,ausnahme,staedte_ritter,RG-04_raeuber_barbaren,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-08-02, SR-13-03, SR-13-01, SR-07-01",ST S.8
E04,dev,ausnahme,staedte_ritter,RG-05_rittermacht,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-04-02, SR-13-03, SR-13-01, SR-05-03",ST S.4
E05,dev,anwendung,grundspiel,RG-03_handkarten,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"GS-06-04, GS-12-01, GS-04-01, GS-07-01",GR S.7
E06,dev,anwendung,staedte_ritter,RG-07_barbarenangriff,0.5,0.6666666666666666,0.5714285714285715,0.0,0.75,0.5,1.0,0.0,"SR-13-01, SR-13-03, SR-02-01, SR-07-01","ST S.9, ST S.13"
T01,test,fakten,grundspiel,RG-17_tauschverhaeltnisse,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"GS-08-01, GS-02-01, GS-06-02, GS-12-01",GR S.8
T02,test,fakten,staedte_ritter,RG-13_stadtertraege,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,"SR-07-04, SR-08-01, SR-04-01, GS-06-04","ST S.7, ST S.8"
T03,test,ausnahme,staedte_ritter,RG-13_stadtertraege,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"SR-04-01, SR-05-03, GS-10-01, SR-07-04",ST S.8
T04,test,ausnahme,grundspiel,RG-14_entwicklungskarten,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"GS-10-02, GS-06-03, GS-06-02, GS-11-01",GR S.10
T05,test,ausnahme,staedte_ritter,RG-11_gruendungsphase,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-05-02, SR-04-01, SR-05-03, SR-04-02",ST S.5
T06,test,fakten,staedte_ritter,RG-15_stadtausbau,0.25,0.5,0.3333333333333333,0.0,0.5,1.0,1.0,1.0,"SR-04-01, SR-10-02, SR-08-03, SR-04-02",ST S.10
T07,test,ausnahme,staedte_ritter,RG-15_stadtausbau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"SR-07-04, SR-08-02, GS-06-04, GS-07-01",ST S.11
T08,test,ausnahme,staedte_ritter,RG-16_fortschrittskarten,0.25,0.5,0.3333333333333333,0.0,0.5,1.0,1.0,1.0,"SR-06-03, SR-11-01, SR-13-03, SR-07-03",ST S.7
T09,test,ausnahme,staedte_ritter,RG-17_tauschverhaeltnisse,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-08-03, SR-08-02, SR-15-01, GS-07-01",ST S.15
T10,test,anwendung,staedte_ritter,RG-15_stadtausbau,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"SR-13-03, SR-11-03, SR-08-03, SR-10-02",ST S.11
T11,test,anwendung,staedte_ritter,RG-18_kartenabgabe_siegpunkte,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-15-10, SR-15-04, GS-06-04, SR-04-02",ST S.15
T12,test,anwendung,grundspiel,RG-17_tauschverhaeltnisse,0.25,0.5,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,1.0,"GS-06-02, GS-10-01, GS-02-01, GS-08-02","GR S.8, GR S.10"
T13,test,fakten,staedte_ritter,RG-21_ereigniswuerfel,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-06-03, SR-14-01, SR-11-01, SR-06-01",ST S.14
T14,test,fakten,staedte_ritter,RG-23_zahlenchips,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-14-06, SR-06-03, GS-12-01, SR-11-01",ST S.14
T15,test,fakten,staedte_ritter,RG-18_kartenabgabe_siegpunkte,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-15-04, SR-06-03, SR-13-03, SR-04-01",ST S.15
T16,test,ausnahme,staedte_ritter,RG-10_siegbedingung,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-02-02, SR-13-03, SR-05-03, SR-13-01",ST S.2
T17,test,ausnahme,staedte_ritter,RG-21_ereigniswuerfel,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-06-03, SR-14-01, SR-05-03, GS-12-01",ST S.14
T18,test,ausnahme,staedte_ritter,RG-22_stadtbau,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-14-08, SR-14-02, SR-06-03, GS-10-01",ST S.14
T19,test,ausnahme,staedte_ritter,RG-15_stadtausbau,0.25,0.5,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0,0.0,"SR-14-02, SR-14-07, SR-14-10, SR-06-03","ST S.10, ST S.14"
T20,test,ausnahme,staedte_ritter,RG-19_erzwungener_tausch,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-15-06, SR-15-02, GS-06-04, SR-15-04",ST S.15
T21,test,ausnahme,staedte_ritter,RG-14_entwicklungskarten,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-06-03, SR-05-03, SR-04-01, SR-08-03",ST S.4
T22,test,anwendung,staedte_ritter,RG-22_stadtbau,0.25,0.3333333333333333,0.28571428571428575,0.0,0.3333333333333333,0.5,1.0,0.0,"SR-14-04, GS-10-01, SR-07-04, SR-05-03","ST S.11, ST S.14"
T23,test,anwendung,staedte_ritter,RG-20_ertragskarten,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,"SR-07-04, GS-10-01, SR-14-03, SR-05-03","GR S.10, ST S.14"
T24,test,anwendung,staedte_ritter,RG-17_tauschverhaeltnisse,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,"SR-08-03, SR-04-02, SR-07-04, SR-15-03",ST S.15
