fall_id,frage,antwort,referenzantwort,zwingende_aussagen,fehlerkriterien,korrektheit,notiz
F020,"Bei CATAN – Städte & Ritter spiele ich nach dem Würfeln „Spionage“ und nehme Anna eine weitere Spionage-Karte ab. Ben besitzt die offene Siegpunktkarte „Buchdruck“ und eine verdeckte „Medizin“. Wie komme ich mit der genommenen Karte noch in diesem Zug an Bens Medizin, und könnte ich stattdessen Buchdruck nehmen?","Du darfst mit der Spionage-Karte eine beliebige Fortschrittskarte eines Mitspielers ansehen und eine davon nehmen, außer Siegpunktkarten. Die „Medizin“ ist eine Fortschrittskarte, die du nehmen darfst, die „Buchdruck“ als offene Siegpunktkarte jedoch nicht. Da du die Spionage-Karte sofort einsetzen darfst, kannst du sie direkt nach dem Ziehen der Karte ausspielen, auch wenn das normalerweise erst nach dem Würfeln erlaubt ist. So kannst du im selben Zug mit der zweiten Spionage-Karte erneut eine Karte von Ben stehlen. Buchdruck kannst du nicht nehmen, da Siegpunktkarten vom Stehlen ausgeschlossen sind. Somit bekommst du mit zwei Spionage-Karten in einem Zug zwei Fortschrittskarten von Ben, aber keine Siegpunktkarte.","Ich darf die gerade genommene Spionage sofort ausspielen und damit Bens Medizin nehmen. Buchdruck darf ich nicht nehmen, weil Siegpunktkarten von Spionage ausgenommen sind.","gestohlene Spionage darf sofort eingesetzt werden | Medizin darf genommen werden | Buchdruck nicht, weil Siegpunktkarte",sofortiger Einsatz wird verneint | Siegpunktkarte darf genommen werden | Begrenzung auf eine Fortschrittskarte je Zug behauptet,1,
F021,"Bei CATAN – Städte & Ritter möchte ich eine Siedlung zur Stadt ausbauen. Ich besitze zwei Fortschrittskarten „Medizin“ und möchte beide für denselben Stadtbau einsetzen. Welche Kosten gelten, und senken zwei Karten die Kosten weiter?","Du kannst nur eine „Medizin“-Karte pro Stadtbau einsetzen, zwei Karten dürfen nicht kombiniert werden. Die Kosten für den Stadtbau sind normalerweise 2 Getreide und 3 Erz. Mit einer „Medizin“-Karte sparst du 1 Erz und 1 Getreide, zahlst also nur 1 Getreide und 2 Erz. Setzt du zwei „Medizin“-Karten gleichzeitig ein, ist das nicht erlaubt laut Regel. Daher gelten entweder die normalen Kosten (ohne Karte) oder die ermäßigten Kosten mit einer Karte, aber nicht weiter reduziert durch zwei Karten. Die zweite Karte kannst du erst bei einem anderen Stadtbau verwenden. Die Regel schließt eine Kombination von zwei „Medizin“-Karten für denselben Ausbau ausdrücklich aus. Somit zahlst du maximal 1 Getreide und 2 Erz für den Stadtbau mit einer „Medizin“-Karte.","Mit einer Medizin-Karte kostet der Stadtbau 2 Erz und 1 Getreide. Zwei Karten dürfen für denselben Stadtbau nicht kombiniert werden, die Kosten sinken also nicht weiter.",2 Erz und 1 Getreide | zwei Karten sind nicht kombinierbar,Kombination beider Karten erlaubt | abweichende Kosten genannt | reguläre Stadtkosten trotz Medizin verlangt,2,
F023,"Bei CATAN – Städte & Ritter besitzt Anna die Handelsmetropole und hat Handel bis zur vierten Stufe ausgebaut. Ben erreicht als Erster die fünfte Handelsstufe und hat eine Stadt ohne Metropolenaufsatz zur Verfügung. Später erreicht auch Anna die fünfte Handelsstufe. Wer besitzt die Handelsmetropole nach Bens Ausbau und wer nach Annas späterem Ausbau, und wie viele Siegpunkte zählt Bens betroffene Stadt unmittelbar nach der Übernahme insgesamt?","Nach Bens Erreichen der fünften Handelsstufe verliert Anna die Handelsmetropole, da eine andere Person vor ihr die fünfte Ausbaustufe im selben Bereich erreicht hat. Ben setzt seinen Metropolenaufsatz auf eine seiner Städte ohne Metropole. Später, wenn auch Anna die fünfte Handelsstufe erreicht, behält Ben die Metropole, da eine Metropole ab der fünften Stufe sicher ist und nicht mehr verloren gehen kann. Die betroffene Stadt von Ben zählt unmittelbar nach der Übernahme 4 Siegpunkte (2 für die Stadt + 2 für die Metropole). Anna besitzt nach Bens Ausbau keine Handelsmetropole mehr, erst nach ihrem eigenen fünften Ausbau in einem anderen Bereich könnte sie wieder eine Metropole errichten.","Ben übernimmt die Handelsmetropole, sobald er als Erster die fünfte Handelsstufe erreicht: Anna nimmt ihren Aufsatz herunter, Ben setzt seinen auf eine eigene Stadt. Diese Stadt zählt dann insgesamt 4 Siegpunkte, nämlich 2 für die Stadt und 2 für die Metropole. Annas späterer Ausbau auf Stufe fünf holt die Metropole nicht zurück, weil Bens Metropole mit der fünften Ausbaustufe gesichert ist.",Ben erhält die Metropole | Bens Stadt zählt 4 Siegpunkte | Anna bekommt sie später nicht zurück,Anna behält die Metropole | Anna erhält sie mit ihrer fünften Stufe zurück | abweichender Siegpunktwert der Metropolenstadt,1,
F024,"Bei CATAN – Städte & Ritter spiele ich nach dem Würfeln „Spionage“ und nehme Anna eine weitere Spionage-Karte ab. Ben besitzt die offene Siegpunktkarte „Buchdruck“ und eine verdeckte „Medizin“. Wie komme ich mit der genommenen Karte noch in diesem Zug an Bens Medizin, und könnte ich stattdessen Buchdruck nehmen?","Du kannst mit der Spionage-Karte nur eine verdeckte Fortschrittskarte eines Mitspielers ansehen und dann eine Karte aus dessen Hand stehlen. Da Bens „Medizin“ verdeckt ist, kannst du diese Karte stehlen, wenn du sie vorher gesehen hast. Die offene Karte „Buchdruck“ kannst du nicht stehlen, da sie offen vor Ben liegt und keine Handkarte ist. Um an die „Medizin“ zu kommen, musst du also zuerst mit Spionage die verdeckte Karte anschauen und dann entscheiden, ob du sie nimmst. Ein Stehlen der offenen „Buchdruck“-Karte ist nicht möglich.","Ich darf die gerade genommene Spionage sofort ausspielen und damit Bens Medizin nehmen. Buchdruck darf ich nicht nehmen, weil Siegpunktkarten von Spionage ausgenommen sind.","gestohlene Spionage darf sofort eingesetzt werden | Medizin darf genommen werden | Buchdruck nicht, weil Siegpunktkarte",sofortiger Einsatz wird verneint | Siegpunktkarte darf genommen werden | Begrenzung auf eine Fortschrittskarte je Zug behauptet,1,
F028,"Bei CATAN – Städte & Ritter steht mein Händler auf einem Waldfeld, auf dem auch der Räuber steht. Ich möchte zwei Holz gegen ein Erz tauschen. Ist dieser Tausch möglich, und warum?","Ja, der Tausch ist möglich. Laut darf mit dem Händler auch getauscht werden, wenn der Räuber auf demselben Landschaftsfeld steht. Der Händler ermöglicht dir, Rohstoffe des Landschaftsfelds, auf dem er steht (hier Holz vom Waldfeld), im Verhältnis 2:1 zu tauschen. Daher kannst du zwei Holz gegen ein Erz tauschen, obwohl der Räuber auf dem Waldfeld steht.","Ja. Solange der Händler auf dem Waldfeld steht, darf ich dessen Rohstoff Holz im Verhältnis 2:1 tauschen. Der Räuber auf demselben Feld verhindert den Handel mit dem Händler nicht.","Ja, der Tausch ist möglich | der Räuber hindert den Händler nicht",Tausch wegen des Räubers verweigert | anderes Tauschverhältnis als 2:1 genannt | Händler müsse erst versetzt werden,2,
F029,"Bei CATAN – Städte & Ritter spiele ich „Handelshafen“. Ich besitze drei Holz und biete Anna, Ben und Clara je ein Holz an. Anna hat ein Papier und ein Tuch, Ben nur Rohstoffe, Clara genau eine Münze. Welche Tauschgeschäfte finden statt, wer bestimmt Annas Karte, und wie viel Holz habe ich danach noch?","Ergebnis: Du kannst mit Anna und Clara handeln, nicht mit Ben. Anna bestimmt, ob sie Papier oder Tuch gibt, da sie beide Handelswaren besitzt. Du gibst jeweils 1 Holz an Anna und Clara, erhältst von Anna 1 Handelsware (Papier oder Tuch) und von Clara 1 Münze. Ben hat nur Rohstoffe, kein passendes Tauschgut für Handelswaren, daher kein Handel. Du gibst insgesamt 2 Holz ab, von deinen 3 Holz bleiben dir danach 1 Holz. Begründung: Laut darfst du mit dem 3:1-Hafen 3 gleiche Rohstoffe gegen 1 Handelsware tauschen, oder Handelswaren gegen Rohstoffe/Handelswaren. Hier bietest du Holz an, also Rohstoff gegen Handelsware. Anna hat Papier und Tuch (Handelswaren), Clara hat Münze (Handelsware), Ben nur Rohstoffe. Handel ist nur möglich, wenn die andere Seite passende Karten hat. Anna wählt, welche Handelsware sie gibt. Du gibst 1 Holz pro Handel ab, also 2 Holz insgesamt.","Anna gibt mir eine Handelsware ihrer Wahl und erhält ein Holz. Bei Ben entfällt der Tausch, weil er keine Handelsware besitzt; sein Holz behalte ich. Clara gibt mir ihre Münze und erhält ein Holz. Danach habe ich noch 1 Holz und zwei Handelswaren.","Anna wählt selbst, Tausch findet statt | bei Ben entfällt der Tausch, das Holz bleibt bei mir | Clara gibt ihre Münze | 1 Holz bleibt",die spielende Person wählt Annas Karte aus | Ben muss einen Rohstoff geben | das für Ben angebotene Holz geht verloren | falscher Holzbestand,0,
F030,"Bei CATAN – Städte & Ritter möchte ich eine Siedlung zur Stadt ausbauen. Ich besitze zwei Fortschrittskarten „Medizin“ und möchte beide für denselben Stadtbau einsetzen. Welche Kosten gelten, und senken zwei Karten die Kosten weiter?","Du darfst nicht beide „Medizin“-Karten gleichzeitig für denselben Stadtbau einsetzen. Pro sparst du mit einer Karte 1 Erz und 1 Getreide, zahlst also nur 1 Erz und 1 Getreide statt 2 Erz und 2 Getreide. Zwei Karten zusammen angewendet sind nicht erlaubt, daher gelten die normalen Kosten minus der Ersparnis einer Karte: 1 Erz und 1 Getreide. Ein weiterer Rabatt durch die zweite Karte ist nicht möglich.","Mit einer Medizin-Karte kostet der Stadtbau 2 Erz und 1 Getreide. Zwei Karten dürfen für denselben Stadtbau nicht kombiniert werden, die Kosten sinken also nicht weiter.",2 Erz und 1 Getreide | zwei Karten sind nicht kombinierbar,Kombination beider Karten erlaubt | abweichende Kosten genannt | reguläre Stadtkosten trotz Medizin verlangt,0,
F034,"Bei CATAN – Städte & Ritter möchte ich eine Siedlung zur Stadt ausbauen. Ich besitze zwei Fortschrittskarten „Medizin“ und möchte beide für denselben Stadtbau einsetzen. Welche Kosten gelten, und senken zwei Karten die Kosten weiter?","Du kannst pro Stadtbau nur eine Fortschrittskarte „Medizin“ einsetzen, die die Kosten um 1 Erz senkt. Die Kosten für den Ausbau von Siedlung zu Stadt betragen normalerweise 3 Erz und 2 Getreide. Mit einer „Medizin“-Karte zahlst du also 2 Erz und 2 Getreide. Zwei „Medizin“-Karten können nicht kombiniert werden, um die Kosten weiter zu senken. Die Regel erlaubt nur eine Karte pro Bauaktion einzusetzen.","Mit einer Medizin-Karte kostet der Stadtbau 2 Erz und 1 Getreide. Zwei Karten dürfen für denselben Stadtbau nicht kombiniert werden, die Kosten sinken also nicht weiter.",2 Erz und 1 Getreide | zwei Karten sind nicht kombinierbar,Kombination beider Karten erlaubt | abweichende Kosten genannt | reguläre Stadtkosten trotz Medizin verlangt,0,
F036,"Bei CATAN – Städte & Ritter spiele ich „Handelsflotte“ und lege Papier als Sorte fest. Ich besitze fünf Papier und zwei Wolle; andere Tauschmöglichkeiten nutze ich nicht, der Vorrat ist ausreichend. Wie viel Erz kann ich darüber höchstens erhalten, und welche meiner Karten bleiben übrig?","Du kannst höchstens 2 Erz erhalten. Begründung: Mit der Handelsflotte darfst du beliebig viele Karten der festgelegten Sorte (Papier) gegen eine andere Sorte tauschen, aber immer im Verhältnis 2:1. Du hast 5 Papier, also kannst du 4 Papier in 2 Erz tauschen (je 2 Papier für 1 Erz). Die 1 Papier bleibt übrig, da du keine halben Tauschvorgänge machen kannst. Deine 2 Wolle bleiben ebenfalls unberührt, da du sie nicht tauschst. Ergebnis: Du gibst 4 Papier ab, erhältst 2 Erz, und behältst 1 Papier sowie 2 Wolle.","Ich tausche zweimal 2 Papier gegen 1 Erz und erhalte 2 Erz. Übrig bleiben 1 Papier und 2 Wolle: Die Wolle darf über dieselbe Handelsflotte nicht getauscht werden, weil ich Papier als Sorte festgelegt habe, und Kombinationen sind nicht erlaubt.","2 Erz | 1 Papier und 2 Wolle bleiben | nur die festgelegte Sorte, keine Kombination",Wolle wird über dieselbe Karte mitgetauscht | Papier und Wolle werden kombiniert | falsche Anzahl Erz oder falscher Rest,2,
F037,"Bei CATAN – Städte & Ritter besitzt Anna die Handelsmetropole und hat Handel bis zur vierten Stufe ausgebaut. Ben erreicht als Erster die fünfte Handelsstufe und hat eine Stadt ohne Metropolenaufsatz zur Verfügung. Später erreicht auch Anna die fünfte Handelsstufe. Wer besitzt die Handelsmetropole nach Bens Ausbau und wer nach Annas späterem Ausbau, und wie viele Siegpunkte zählt Bens betroffene Stadt unmittelbar nach der Übernahme insgesamt?","Nach Bens Erreichen der fünften Handelsstufe erhält Ben die Handelsmetropole, da er als Erster die fünfte Stufe erreicht hat. Anna verliert dadurch die Handelsmetropole. Später, wenn Anna ebenfalls die fünfte Handelsstufe erreicht, nimmt sie die Handelsmetropole von Ben und baut sie auf ihre eigene Stadt auf. Die Metropole kann nicht verloren werden, solange der Spieler die fünfte Stufe hält. Bens Stadt, die die Metropole verliert, zählt danach nur noch als normale Stadt ohne Metropolenaufsatz, also 2 Siegpunkte. Die Metropole selbst bringt keinen zusätzlichen Siegpunkt, sondern kennzeichnet nur den Besitz der höchsten Ausbaustufe im Bereich Handel.","Ben übernimmt die Handelsmetropole, sobald er als Erster die fünfte Handelsstufe erreicht: Anna nimmt ihren Aufsatz herunter, Ben setzt seinen auf eine eigene Stadt. Diese Stadt zählt dann insgesamt 4 Siegpunkte, nämlich 2 für die Stadt und 2 für die Metropole. Annas späterer Ausbau auf Stufe fünf holt die Metropole nicht zurück, weil Bens Metropole mit der fünften Ausbaustufe gesichert ist.",Ben erhält die Metropole | Bens Stadt zählt 4 Siegpunkte | Anna bekommt sie später nicht zurück,Anna behält die Metropole | Anna erhält sie mit ihrer fünften Stufe zurück | abweichender Siegpunktwert der Metropolenstadt,0,
