fall_id,question_id,bedingung,pruefsumme
F000,E01,A_ohne_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F001,E01,B_mit_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F002,E03,C_goldkontext,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F003,E02,C_goldkontext,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F004,E02,A_ohne_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F005,E05,B_mit_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F006,E06,B_mit_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F007,E06,A_ohne_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F008,E04,C_goldkontext,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F009,E01,C_goldkontext,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F010,E04,A_ohne_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F011,E06,C_goldkontext,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F012,E02,B_mit_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F013,E05,A_ohne_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F014,E03,B_mit_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F015,E04,B_mit_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F016,E05,C_goldkontext,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
F017,E03,A_ohne_rag,e84680b5b3b0b18e9251fbb240c5944b2d7ad7033248f75e4be2f6c36f7e417a
