question_id,fragetyp,wortueberlappung,laengste_woertliche_folge
E01,fakten,0.5714285714285714,4
E02,fakten,0.6875,3
E03,ausnahme,0.5161290322580645,3
E04,ausnahme,0.47368421052631576,7
E05,anwendung,0.5333333333333333,3
E06,anwendung,0.6428571428571429,3
T01,fakten,0.14285714285714285,3
T02,fakten,0.3,2
T03,ausnahme,0.16666666666666666,1
T04,ausnahme,0.16666666666666666,1
T05,ausnahme,0.4166666666666667,2
T06,fakten,0.7083333333333334,2
T07,ausnahme,0.391304347826087,4
T08,ausnahme,0.36,3
T09,ausnahme,0.3157894736842105,2
T10,anwendung,0.3939393939393939,2
T11,anwendung,0.2903225806451613,2
T12,anwendung,0.3235294117647059,3
T13,fakten,0.13636363636363635,2
T14,fakten,0.21428571428571427,2
T15,fakten,0.3181818181818182,2
T16,ausnahme,0.15789473684210525,1
T17,ausnahme,0.2857142857142857,2
T18,ausnahme,0.2727272727272727,1
T19,ausnahme,0.30434782608695654,2
T20,ausnahme,0.29411764705882354,2
T21,ausnahme,0.17647058823529413,3
T22,anwendung,0.38461538461538464,3
T23,anwendung,0.35294117647058826,6
T24,anwendung,0.13793103448275862,1
T25,anwendung,0.10714285714285714,1
T26,anwendung,0.14285714285714285,1
T27,anwendung,0.2777777777777778,4
T28,anwendung,0.11538461538461539,1
T29,anwendung,0.391304347826087,2
T30,anwendung,0.34375,2
