fall_id,frage,antwort,referenzantwort,zwingende_aussagen,fehlerkriterien,korrektheit,entscheidung,begruendung,enthaltung,fehlerart,notiz
F000,"Ab wie vielen zusammenhängenden Straßen erhält man im CATAN-Grundspiel die Sondersiegpunkttafel „Längste Handelsroute“, wie viele Siegpunkte ist sie wert, und zählen Abzweigungen mit?","Entscheidung: Die Sondersiegpunkttafel „Längste Handelsroute“ erhält man ab einer zusammenhängenden Straßenlänge von mindestens 5 Straßen. Sie ist 2 Siegpunkte wert. Abzweigungen zählen nicht als Verlängerung der Straße, nur eine durchgehende Kette von Straßenstücken zählt. Begründung: Im CATAN-Grundspiel wird die längste Handelsroute ab 5 zusammenhängenden Straßen vergeben, um den Ausbau des Straßennetzes zu belohnen. Abzweigungen unterbrechen die Kette, da nur eine ununterbrochene Linie zählt. Die 2 Siegpunkte sind auf der Sondersiegpunkttafel vermerkt.",Man benötigt einen durchgehenden Straßenzug aus mindestens 5 Einzelstraßen. Die Tafel ist 2 Siegpunkte wert. Abzweigungen werden nicht mitgezählt.,mindestens 5 Straßen | 2 Siegpunkte | Abzweigungen zählen nicht,andere Straßenzahl genannt | abweichende Punktzahl | Abzweigungen würden mitgezählt | Verwechslung mit „Größte Rittermacht“,0,1,0,,Falsche Regelbegründung: Abzweigungen als Unterbrechung,"5 Straßen, 2 Siegpunkte und Nichtmitzählen der Abzweigungen richtig. Die zusätzliche Behauptung, Abzweigungen unterbrächen die Kette, ist falsch und betrifft unmittelbar den erfragten Mechanismus. Strenge Anwendung der vereinbarten Regel: erfundene Begründung einer verlangten Aussage ergibt 0. Grenzfall zur Teilkorrektheit; Bewertung folgt der strengen Regel für eine falsche tragende Begründung."
F001,"Ab wie vielen zusammenhängenden Straßen erhält man im CATAN-Grundspiel die Sondersiegpunkttafel „Längste Handelsroute“, wie viele Siegpunkte ist sie wert, und zählen Abzweigungen mit?","Man erhält die Sondersiegpunkttafel „Längste Handelsroute“ ab mindestens 5 zusammenhängenden Straßen. Sie ist 2 Siegpunkte wert. Abzweigungen zählen dabei nicht mit, nur der längste durchgehende Straßenzug ohne Unterbrechung durch fremde Siedlungen oder Städte wird gezählt.",Man benötigt einen durchgehenden Straßenzug aus mindestens 5 Einzelstraßen. Die Tafel ist 2 Siegpunkte wert. Abzweigungen werden nicht mitgezählt.,mindestens 5 Straßen | 2 Siegpunkte | Abzweigungen zählen nicht,andere Straßenzahl genannt | abweichende Punktzahl | Abzweigungen würden mitgezählt | Verwechslung mit „Größte Rittermacht“,2,1,1,,,Alle drei Pflichtaussagen erfüllt; keine widersprechende Zusatzbehauptung.
F002,"Bei CATAN – Städte & Ritter wird in der dritten Spielrunde eine 7 gewürfelt. Das Barbarenschiff hat Catan bis dahin noch nie erreicht. Darf die würfelnde Person den Räuber versetzen und eine Karte ziehen? Gibt es einen Fall, in dem der Räuber schon beim ersten Barbarenangriff versetzt werden darf?","Nein, in der dritten Runde, bevor das Barbarenschiff Catan erreicht hat, darf der Räuber nicht versetzt werden und es wird keine Karte gezogen. Die 7 führt nur zur Überprüfung der Handkarten auf mehr als 7 Karten, der Räuber bleibt auf der Steinhalbinsel. Ein Fall, in dem der Räuber beim ersten Barbarenangriff bereits versetzt werden darf, ist wenn in derselben Runde, in der das Barbarenschiff Catan erreicht, eine 7 gewürfelt wird. Dann darf der Räuber sofort versetzt werden, da der Barbarenangriff vor der Ertragsauswertung erfolgt.","Nein. Solange die Barbaren Catan noch nicht zum ersten Mal erreicht haben, darf der Räuber nicht versetzt werden. Bei einer 7 wird bis dahin nur geprüft, ob jemand zu viele Handkarten hält; der Räuber bleibt auf der Steinhalbinsel und niemand zieht eine Karte. Ausnahme: Wird in genau der Runde, in der das Barbarenschiff Catan erreicht, eine 7 gewürfelt, darf der Räuber bereits versetzt werden, weil der Barbarenangriff vor der Auswertung des Rohstoffertrags erfolgt.","Nein, kein Versetzen und kein Kartenzug | Begründung: Barbaren haben Catan noch nicht erreicht | Handkartenprüfung findet trotzdem statt | Ausnahme in der Runde des ersten Barbarenangriffs","Antwort „ja, wie im Grundspiel“ | Handkartenprüfung wird weggelassen | Ausnahme fehlt oder gilt angeblich generell ab dem ersten Angriff",2,1,1,,,"Kein Versetzen/Kartenzug, Handkartenprüfung und Ausnahme in der Runde des ersten Angriffs korrekt. Zusatzhinweis für die Prüfung: Das genannte 7er-Limit gilt ohne Erhöhung durch Stadtmauern; diese sind in der Frage nicht angegeben."
F003,"Was kostet es bei CATAN – Städte & Ritter, einen Einfachen Ritter zu bauen, und was kostet es, einen Ritter zu aktivieren? Darf ein gerade aktivierter Ritter noch im selben Zug eine Aktion ausführen?","Ein Einfacher Ritter kostet 1 Wolle und 1 Erz zum Bauen. Die Aktivierung eines Ritters kostet 1 Getreide. Ein gerade aktivierter Ritter darf im selben Zug noch keine Aktion ausführen; Aktionen sind erst im nächsten Zug möglich. Begründung: Laut Regel [Quelle] kostet der Bau eines einfachen Ritters 1 Wolle + 1 Erz. Die Aktivierung (Helm aufsetzen) kostet 1 Getreide ([Quelle]). Ein aktivierter Ritter kann erst im nächsten Zug Aktionen ausführen, nicht im Zug der Aktivierung.",Einen Einfachen Ritter zu bauen kostet 1 Wolle und 1 Erz. Einen Ritter zu aktivieren kostet 1 Getreide. Ein gerade aktivierter Ritter darf frühestens im nächsten eigenen Zug für eine Aktion eingesetzt werden.,Bau kostet 1 Wolle und 1 Erz | Aktivierung kostet 1 Getreide | keine Aktion im Zug der Aktivierung,falsche oder zusätzliche Rohstoffe | Aktivierungskosten ungleich 1 Getreide | Ritter sei sofort einsatzbereit | Verwechslung mit den Aufwertungskosten,2,1,1,,,"Baukosten 1 Wolle + 1 Erz, Aktivierung 1 Getreide und keine Aktion im Aktivierungszug korrekt."
F004,"Was kostet es bei CATAN – Städte & Ritter, einen Einfachen Ritter zu bauen, und was kostet es, einen Ritter zu aktivieren? Darf ein gerade aktivierter Ritter noch im selben Zug eine Aktion ausführen?","Ein Einfacher Ritter kostet 1 Getreide und 1 Erz zum Bauen. Zum Aktivieren eines Ritters muss 1 Getreide bezahlt werden. Ein gerade aktivierter Ritter darf im selben Zug noch eine Aktion ausführen, da die Aktivierung vor der Aktion erfolgt. Die Aktivierung ist Voraussetzung, damit der Ritter am Spielgeschehen teilnehmen kann. Ohne Aktivierung ist der Ritter inaktiv und kann keine Aktionen ausführen. Dies gilt speziell für die Erweiterung Städte & Ritter.",Einen Einfachen Ritter zu bauen kostet 1 Wolle und 1 Erz. Einen Ritter zu aktivieren kostet 1 Getreide. Ein gerade aktivierter Ritter darf frühestens im nächsten eigenen Zug für eine Aktion eingesetzt werden.,Bau kostet 1 Wolle und 1 Erz | Aktivierung kostet 1 Getreide | keine Aktion im Zug der Aktivierung,falsche oder zusätzliche Rohstoffe | Aktivierungskosten ungleich 1 Getreide | Ritter sei sofort einsatzbereit | Verwechslung mit den Aufwertungskosten,0,0,0,,Falsche Baukosten; Aktion im Aktivierungszug fälschlich erlaubt,Getreide statt Wolle als Baukosten genannt; eine Aktion unmittelbar im Aktivierungszug wird fälschlich erlaubt. Zwei ausdrückliche Fehlerkriterien erfüllt.
F005,"Im CATAN-Grundspiel wird eine 7 gewürfelt. Anna hält 9 Handkarten, Ben 7 und Clara 12. Wie viele Karten muss jede Person abgeben?","Anna muss 4 Karten abgeben, Ben keine, Clara 6 Karten. Begründung: Bei einer 7 wird geprüft, wer mehr als 7 Karten hat. Anna hat 9 Karten, also mehr als 7, und muss die Hälfte (9/2 = 4,5, abgerundet 4) abgeben. Ben hat genau 7 Karten, also keine mehr als 7, er gibt nichts ab. Clara hat 12 Karten, also mehr als 7, und muss die Hälfte (12/2 = 6) abgeben.","Anna gibt 4 Karten ab, Ben gibt keine Karte ab, Clara gibt 6 Karten ab. Abgeben muss nur, wer mehr als 7 Handkarten hält; abgegeben wird die Hälfte, bei ungeraden Zahlen abgerundet.",Anna 4 | Ben 0 | Clara 6 | Regel „mehr als 7“ und Abrunden korrekt benannt,"Ben muss abgeben (Fehler: „ab 7“ statt „mehr als 7“) | Aufrunden bei Anna (5 statt 4) | falsche Zahl bei Clara | Handelswaren oder Stadtmauern einbezogen, die es im Grundspiel nicht gibt",2,1,1,,,"Anna 4, Ben 0, Clara 6; Schwelle mehr als 7 und Abrunden richtig angewandt."
F006,"Bei CATAN – Städte & Ritter erreicht das Barbarenschiff Catan. Anna besitzt 2 Städte und hat 1 Einfachen Ritter aktiviert. Ben besitzt 1 Stadt und hat 1 Mächtigen Ritter aktiviert. Clara besitzt genau eine Stadt, die zur Metropole ausgebaut ist, und hat keinen Ritter aktiviert. David besitzt nur Siedlungen und hat keinen Ritter aktiviert. Wie stark sind Barbarenheer und Ritterheer, wer gewinnt, und welche Folgen hat das für die vier Personen?","Das Barbarenheer hat eine Stärke von 4 (2 Städte von Anna + 1 Stadt von Ben + 1 Metropole von Clara). Das Ritterheer hat eine Stärke von 3 (1 Einfacher Ritter von Anna + 1 Mächtiger Ritter von Ben). Die Barbaren gewinnen, da 4 > 3. Folgen: Clara ist mit ihrer Metropole geschützt und wird nicht überfallen. Anna und Ben besitzen Städte und haben die wenigsten aktivierten Ritter (Anna 1, Ben 1, Clara 0, David keine Städte). Da Clara keine Ritter aktiviert hat, aber eine Metropole besitzt, wird sie nicht überfallen. David hat nur Siedlungen und wird ebenfalls nicht überfallen. Anna und Ben haben gleich viele Ritter, also werden beide als Verteidiger gezählt. Da sie gleich viele Ritter haben, werden beide überfallen, da sie die wenigsten Ritter im Vergleich zur Metropole von Clara haben. Anna und Ben müssen jeweils eine ihrer Städte auf die Seite drehen (als Siedlung behandeln). Clara und David bleiben unversehrt.","Das Barbarenheer hat die Stärke 4, weil alle auf Catan gebauten Städte einschließlich Metropolen gezählt werden: 2 (Anna) + 1 (Ben) + 1 (Clara) = 4. Davids Siedlungen zählen nicht. Das Ritterheer hat die Stärke 4: 1 Spitze (Anna) + 3 Spitzen (Ben) = 4. Bei Gleichstand gewinnen die Ritter Catans. Niemand verliert eine Stadt. Ben hat allein die meisten Fähnchenspitzen beigesteuert und erhält dafür 1 Siegpunkt-Chip. Anschließend werden alle aktivierten Ritter deaktiviert und das Barbarenschiff auf sein Startfeld zurückgesetzt.","Barbarenstärke 4, Metropole mitgezählt | Ritterstärke 4 | Ritter gewinnen bei Gleichstand | niemand verliert eine Stadt | Ben erhält 1 Siegpunkt-Chip",Barbaren gewinnen bei Gleichstand | Metropole nicht als Stadt gezählt (Stärke 3) | Davids Siedlungen mitgezählt (Stärke 5 oder mehr) | Siegpunkt-Chip an die falsche Person oder an mehrere | Stadtverlust trotz Sieg der Ritter,0,0,0,,Falsche Ritterstärke; falscher Kampfausgang; falsche Stadtverluste,"Barbarenstärke 4 richtig, Ritterstärke jedoch 4 statt 3. Bei Gleichstand gewinnen die Ritter. Folglich keine Stadtverluste; Ben erhält den Chip. Die Antwort verwechselt Ritteranzahl und Stärke."
F007,"Bei CATAN – Städte & Ritter erreicht das Barbarenschiff Catan. Anna besitzt 2 Städte und hat 1 Einfachen Ritter aktiviert. Ben besitzt 1 Stadt und hat 1 Mächtigen Ritter aktiviert. Clara besitzt genau eine Stadt, die zur Metropole ausgebaut ist, und hat keinen Ritter aktiviert. David besitzt nur Siedlungen und hat keinen Ritter aktiviert. Wie stark sind Barbarenheer und Ritterheer, wer gewinnt, und welche Folgen hat das für die vier Personen?","Das Barbarenheer hat Stärke 6 (2 Städte x 2 + 1 Stadt x 1 + 1 Metropole x 3 = 4 + 1 + 3 = 8, aber nur die Städte zählen, Siedlungen nicht, also 2 Städte x 2 + 1 Stadt x 2 + 1 Metropole x 3 = 4 + 2 + 3 = 9). Die Ritterstärke ist 3 (Anna 1 Einfacher Ritter = 1, Ben 1 Mächtiger Ritter = 2, Clara und David keine Ritter). Das Ritterheer gewinnt nicht, da 3 < 9. Die Barbaren plündern. Anna verliert eine Stadt (wird zur Siedlung), Ben verliert seine Stadt (wird zur Siedlung), Clara verliert ihre Metropole (wird zur Stadt), David ist nicht betroffen, da er nur Siedlungen hat. Die Ritter werden entkräftet (aktivierte Ritter werden entkräftet). Korrektur: Die Metropole zählt als 3 Städte, also Barbarenstärke = 2 Städte x 2 + 1 Stadt x 2 + 1 Metropole x 3 = 4 + 2 + 3 = 9. Die Ritterstärke ist 3 (1 + 2). Ritter verlieren, Barbaren plündern. Anna, Ben und Clara verlieren jeweils eine Stadt, David nicht.","Das Barbarenheer hat die Stärke 4, weil alle auf Catan gebauten Städte einschließlich Metropolen gezählt werden: 2 (Anna) + 1 (Ben) + 1 (Clara) = 4. Davids Siedlungen zählen nicht. Das Ritterheer hat die Stärke 4: 1 Spitze (Anna) + 3 Spitzen (Ben) = 4. Bei Gleichstand gewinnen die Ritter Catans. Niemand verliert eine Stadt. Ben hat allein die meisten Fähnchenspitzen beigesteuert und erhält dafür 1 Siegpunkt-Chip. Anschließend werden alle aktivierten Ritter deaktiviert und das Barbarenschiff auf sein Startfeld zurückgesetzt.","Barbarenstärke 4, Metropole mitgezählt | Ritterstärke 4 | Ritter gewinnen bei Gleichstand | niemand verliert eine Stadt | Ben erhält 1 Siegpunkt-Chip",Barbaren gewinnen bei Gleichstand | Metropole nicht als Stadt gezählt (Stärke 3) | Davids Siedlungen mitgezählt (Stärke 5 oder mehr) | Siegpunkt-Chip an die falsche Person oder an mehrere | Stadtverlust trotz Sieg der Ritter,0,0,0,,Widersprüchliche Barbarenstärke; falsche Ritterstärke; Metropolenschutz missachtet,"Barbarenstärke widersprüchlich mit 6/8/9 statt 4 angegeben; Ritterstärke 3 statt 4, falscher Sieger und unzulässiger Verlust der Metropole. Die Deaktivierung der Ritter ist dagegen kein Fehler."
F008,Eine Gruppe spielt CATAN – Das Spiel mit der Erweiterung Städte & Ritter. Eine Person hat drei Ritter vor sich liegen und möchte dafür die Sondersiegpunkttafel „Größte Rittermacht“ beanspruchen. Ist das korrekt?,"Nein, das ist nicht korrekt. Laut den offiziellen Regeln von Städte & Ritter wird die Sondersiegpunkttafel „Größte Rittermacht“ nicht verwendet und bleibt in der Schachtel. Stattdessen gibt es andere Mechanismen zur Ritterwertung, daher kann die Tafel nicht beansprucht werden.",Nein. Die Sondersiegpunkttafel „Größte Rittermacht“ wird beim Spiel mit Städte & Ritter nicht verwendet und bleibt beim Aufbau in der Schachtel. Nur die Tafel „Längste Handelsroute“ wird bereitgelegt.,Nein | Tafel existiert in Städte & Ritter nicht bzw. bleibt in der Schachtel,Antwort „ja“ | abweichende Ritterzahl als Bedingung genannt | auch „Längste Handelsroute“ entfalle | Verwechslung mit den Ritterfiguren der Erweiterung,2,1,1,,,Nein; Größte Rittermacht wird nicht verwendet und bleibt in der Schachtel. Beide Pflichtaussagen erfüllt.
F009,"Ab wie vielen zusammenhängenden Straßen erhält man im CATAN-Grundspiel die Sondersiegpunkttafel „Längste Handelsroute“, wie viele Siegpunkte ist sie wert, und zählen Abzweigungen mit?","Die Sondersiegpunkttafel „Längste Handelsroute“ erhält man ab mindestens 5 zusammenhängenden Straßen. Sie ist 2 Siegpunkte wert. Abzweigungen zählen dabei nicht mit, nur der längste durchgehende Straßenzug ohne Unterbrechung durch fremde Siedlungen oder Städte wird gezählt.",Man benötigt einen durchgehenden Straßenzug aus mindestens 5 Einzelstraßen. Die Tafel ist 2 Siegpunkte wert. Abzweigungen werden nicht mitgezählt.,mindestens 5 Straßen | 2 Siegpunkte | Abzweigungen zählen nicht,andere Straßenzahl genannt | abweichende Punktzahl | Abzweigungen würden mitgezählt | Verwechslung mit „Größte Rittermacht“,2,1,1,,,"Mindestens 5 Straßen, 2 Siegpunkte und Ausschluss der Abzweigungen korrekt."
