fall_id,question_id,bedingung,pruefsumme
F000,E01,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F001,E01,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F002,E03,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F003,E02,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F004,E02,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F005,E05,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F006,E06,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F007,E06,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F008,E04,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F009,E01,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F010,E04,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F011,E06,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F012,E02,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F013,E05,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F014,E03,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F015,E04,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F016,E05,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F017,E03,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F018,T02,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F019,T02,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F020,T28,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F021,T18,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F022,T17,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F023,T10,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F024,T28,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F025,T19,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F026,T07,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F027,T08,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F028,T09,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F029,T25,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F030,T18,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F031,T05,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F032,T21,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F033,T30,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F034,T18,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F035,T12,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F036,T24,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F037,T10,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F038,T05,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F039,T30,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F040,T20,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F041,T27,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F042,T20,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F043,T01,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F044,T24,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F045,T23,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F046,T11,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F047,T30,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F048,T03,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F049,T05,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F050,T21,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F051,T01,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F052,T02,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F053,T08,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F054,T13,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F055,T23,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F056,T17,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F057,T09,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F058,T29,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F059,T14,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F060,T03,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F061,T08,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F062,T28,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F063,T09,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F064,T17,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F065,T04,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F066,T16,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F067,T07,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F068,T22,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F069,T22,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F070,T06,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F071,T19,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F072,T07,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F073,T04,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F074,T11,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F075,T03,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F076,T27,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F077,T13,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F078,T01,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F079,T29,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F080,T10,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F081,T25,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F082,T14,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F083,T15,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F084,T20,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F085,T29,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F086,T16,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F087,T26,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F088,T15,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F089,T13,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F090,T16,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F091,T26,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F092,T11,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F093,T21,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F094,T23,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F095,T19,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F096,T27,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F097,T15,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F098,T14,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F099,T12,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F100,T12,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F101,T06,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F102,T25,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F103,T06,A_ohne_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F104,T04,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F105,T24,B_mit_rag,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F106,T22,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
F107,T26,C_goldkontext,2577d51e1f8487c8eabe39abd12fb6e75e0002043f9e7749233d865dd082946f
